Date,Open,High,Low,Close,Adj Close,Volume
2011-07-01,21.600000,21.910000,21.170000,21.350000,14.775175,1197600
2011-08-01,21.459999,21.459999,17.930000,20.980000,14.555926,1935200
2011-09-01,20.980000,20.980000,19.500000,19.900000,13.844308,1228100
2011-10-01,19.870001,21.080000,19.030001,20.809999,14.517349,654800
2011-11-01,20.430000,21.240000,20.360001,21.049999,14.724313,910600
2011-12-01,21.100000,21.309999,20.450001,21.309999,14.946268,1332400
2012-01-01,21.400000,22.040001,21.309999,21.660000,15.229769,1251000
2012-02-01,21.719999,22.209999,21.690001,22.150000,15.618052,1387100
2012-03-01,22.150000,22.629999,21.850000,22.400000,15.837921,1423700
2012-04-01,22.410000,22.510000,21.830000,22.459999,15.922554,914500
2012-05-01,22.459999,22.580000,21.410000,21.549999,15.318941,1119900
2012-06-01,21.430000,21.700001,20.969999,21.400000,15.254335,855400
2012-07-01,21.570000,21.850000,21.340000,21.559999,15.412210,864000
2012-08-01,21.639999,22.129999,21.330000,21.620001,15.498561,765800
2012-09-01,21.620001,22.150000,21.520000,21.870001,15.720830,1053200
2012-10-01,21.969999,22.320000,21.750000,22.290001,16.066574,867000
2012-11-01,22.280001,22.370001,21.260000,21.809999,15.763467,1228700
2012-12-01,21.900000,22.559999,21.620001,22.440001,16.263676,795000
2013-01-01,22.670000,23.600000,22.540001,23.500000,17.079172,1626700
2013-02-01,23.559999,23.830000,23.430000,23.740000,17.299339,1262500
2013-03-01,23.389999,23.450001,22.950001,23.120001,16.891811,1477600
2013-04-01,23.120001,23.129999,22.190001,22.889999,16.769993,1993300
2013-05-01,22.820000,23.600000,22.660000,22.980000,16.884111,1670500
2013-06-01,23.070000,23.080000,21.660000,22.440001,16.532923,1387700
2013-07-01,22.400000,23.480000,22.370001,23.219999,17.156048,1342400
2013-08-01,23.370001,23.480000,22.820000,23.049999,17.079254,1280600
2013-09-01,23.209999,23.410000,23.040001,23.250000,17.277470,1167500
2013-10-01,23.250000,24.110001,22.980000,24.080000,17.946070,2306400
2013-11-01,24.049999,24.410000,23.900000,24.230000,18.108776,1648200
2013-12-01,24.209999,24.620001,23.650000,24.580000,18.419500,2089700
2014-01-01,24.559999,25.030001,24.260000,24.500000,18.466415,2563900
2014-02-01,24.500000,25.270000,24.100000,25.209999,19.052828,1838100
2014-03-01,25.110001,25.670000,25.080000,25.670000,19.452528,1825500
2014-04-01,25.690001,25.969999,25.450001,25.889999,19.670944,1265800
2014-05-01,25.840000,26.190001,25.840000,26.010000,19.815903,957000
2014-06-01,26.040001,26.639999,26.030001,26.400000,20.167116,719100
2014-07-01,26.459999,26.580000,26.020000,26.299999,20.143721,973500
2014-08-01,26.260000,27.330000,26.150000,27.260000,20.932880,689600
2014-09-01,27.219999,27.490000,26.020000,26.360001,20.292677,780600
2014-10-01,26.340000,26.370001,21.280001,26.350000,20.336443,2184900
2014-11-01,26.379999,27.290001,26.070000,26.910000,20.820873,868100
2014-12-01,26.830000,26.990000,25.549999,26.920000,20.878393,1119600
2015-01-01,26.900000,27.049999,25.700001,26.350000,20.485849,1142400
2015-02-01,26.490000,27.500000,26.480000,27.129999,21.150928,1089100
2015-03-01,27.100000,27.150000,25.700001,26.000000,20.325384,959000
2015-04-01,25.969999,27.030001,25.900000,26.770000,20.986973,843800
2015-05-01,26.780001,27.030001,26.090000,26.280001,20.665014,910400
2015-06-01,26.299999,26.660000,25.360001,25.500000,20.111914,922400
2015-07-01,25.500000,25.680000,23.790001,24.820000,19.636581,1011400
2015-08-01,24.750000,25.030001,22.450001,24.500000,19.443825,733700
2015-09-01,24.150000,24.420000,23.459999,23.780001,18.933121,428400
2015-10-01,23.900000,25.070000,23.540001,24.530001,19.592617,553600
2015-11-01,24.510000,24.660000,23.549999,23.940001,19.180466,836800
2015-12-01,24.000000,24.139999,22.200001,22.959999,18.454782,1256000
2016-01-01,22.790001,22.790001,20.340000,22.299999,17.983799,931700
2016-02-01,22.150000,22.530001,20.559999,22.410000,18.140074,1140400
2016-03-01,22.540001,24.020000,22.500000,23.770000,19.309845,842900
2016-04-01,23.620001,24.709999,23.389999,24.530001,19.994341,628500
2016-05-01,24.570000,24.900000,23.690001,24.830000,20.307472,539400
2016-06-01,24.690001,25.520000,24.000000,24.719999,20.286678,562100
2016-07-01,24.889999,25.340000,24.670000,25.000000,20.586040,330100
2016-08-01,25.010000,25.459999,24.750000,25.139999,20.771872,392400
2016-09-01,25.120001,25.450001,24.549999,25.180000,20.875967,340300
2016-10-01,25.200001,25.370001,24.770000,24.969999,20.774401,391300
2016-11-01,25.000000,25.990000,24.280001,25.940001,21.656593,580900
2016-12-01,26.059999,26.879999,25.950001,26.650000,22.325825,474500
2017-01-01,26.790001,27.129999,26.500000,26.590000,22.348843,940100
2017-02-01,26.660000,27.309999,26.570000,26.600000,22.431936,686500
2017-03-01,26.750000,27.209999,26.520000,27.129999,22.953850,703100
2017-04-01,27.160000,27.440001,26.900000,27.059999,22.970675,614900
2017-05-01,27.049999,27.250000,25.660000,25.799999,21.969700,550600
2017-06-01,25.860001,26.280001,25.650000,26.020000,22.229433,432200
2017-07-01,26.100000,26.100000,25.559999,25.629999,21.968151,342000
